#Down SWR Down LWR Precipit  Air Tem  Windspe Pressure Spec Hum
#W m-2 W m-2 Kg m-2 s-1 K m s-1 Pa kg kg
   0.0 291.1 0.00E+00 273.31  2.45  96720 0.00233
   0.0 285.3 0.00E+00 272.83  2.55  96700 0.00232
   0.0 279.5 0.00E+00 272.26  2.66  96740 0.00223
   0.0 274.3 0.00E+00 271.96  2.33  96770 0.00213
   0.0 273.4 0.00E+00 271.42  3.15  96770 0.00212
   0.0 282.7 0.00E+00 271.77  3.64  96800 0.00211
   0.0 266.9 0.00E+00 271.34  3.17  96840 0.00212
   0.0 249.9 0.00E+00 270.21  2.05  96970 0.00201
  21.3 271.8 0.00E+00 270.51  3.00  97060 0.00207
  86.2 273.4 0.00E+00 271.73  3.76  97120 0.00206
 154.1 269.0 0.00E+00 272.53  4.57  97130 0.00199
 231.8 260.7 0.00E+00 273.63  4.82  97120 0.00197
 288.9 260.6 0.00E+00 274.84  4.99  97090 0.00192
 265.6 273.6 0.00E+00 275.79  5.66  97050 0.00172
 227.5 291.3 0.00E+00 276.28  5.69  97100 0.00151
  75.5 298.6 0.00E+00 275.24  5.60  97180 0.00176
   8.6 299.1 0.00E+00 274.12  4.17  97200 0.00198
   0.0 296.6 0.00E+00 273.48  4.09  97240 0.00219
   0.0 295.0 0.00E+00 272.54  5.00  97280 0.00256
   0.0 292.9 0.00E+00 272.09  3.24  97320 0.00282
   0.0 289.5 0.00E+00 271.97  4.20  97320 0.00319
   0.0 295.6 0.00E+00 271.54  4.67  97350 0.00329
   0.0 296.0 0.00E+00 271.12  3.43  97380 0.00329
   0.0 293.8 0.00E+00 270.77  2.89  97390 0.00328
   0.0 287.4 0.00E+00 270.45  3.39  97380 0.00320
   0.0 291.6 0.00E+00 270.20  3.56  97400 0.00302
   0.0 290.9 0.00E+00 269.99  2.97  97420 0.00280
   0.0 290.7 0.00E+00 269.95  2.63  97420 0.00285
   0.0 289.0 0.00E+00 269.91  2.02  97380 0.00283
   0.0 270.0 0.00E+00 269.43  2.03  97360 0.00270
   0.0 255.5 0.00E+00 269.13  2.63  97440 0.00253
   1.1 267.7 0.00E+00 268.26  2.85  97510 0.00236
  36.3 277.1 0.00E+00 268.63  3.48  97560 0.00236
 129.2 266.8 0.00E+00 269.53  4.26  97590 0.00242
 267.7 252.4 0.00E+00 270.81  5.19  97570 0.00260
 432.1 227.0 0.00E+00 272.51  4.48  97500 0.00270
 389.3 258.5 0.00E+00 273.69  4.79  97420 0.00282
 436.8 236.7 0.00E+00 275.03  5.06  97360 0.00298
 250.8 246.0 0.00E+00 275.05  4.61  97340 0.00295
 110.0 277.8 0.00E+00 274.91  4.59  97390 0.00302
  25.5 293.0 0.00E+00 274.42  4.88  97420 0.00317
   0.0 259.6 0.00E+00 273.52  3.09  97420 0.00307
   0.0 233.1 0.00E+00 270.21  1.98  97460 0.00248
   0.0 272.7 0.00E+00 269.43  1.34  97510 0.00237
   0.0 277.8 0.00E+00 269.70  1.68  97540 0.00239
   0.0 252.8 0.00E+00 269.53  1.62  97520 0.00234
   0.0 257.2 0.00E+00 268.52  0.57  97540 0.00232
   0.3 273.0 0.00E+00 268.76  0.74  97520 0.00238
   0.0 261.9 0.00E+00 268.45  0.62  97510 0.00242
   0.0 241.7 0.00E+00 268.06  1.17  97480 0.00238
   0.0 226.7 0.00E+00 266.09  1.74  97450 0.00215
   1.1 272.3 0.00E+00 266.76  1.34  97460 0.00228
   0.0 277.1 0.00E+00 268.15  1.20  97430 0.00244
   0.0 283.7 0.00E+00 268.26  1.77  97430 0.00248
   0.0 284.0 0.00E+00 268.75  2.64  97330 0.00256
   0.3 241.6 0.00E+00 268.31  2.03  97270 0.00257
  63.2 223.8 0.00E+00 267.64  1.58  97290 0.00250
 210.2 226.7 0.00E+00 270.94  3.92  97270 0.00299
 338.4 232.2 0.00E+00 273.69  5.44  97190 0.00333
 430.3 243.3 0.00E+00 276.41  6.24  97040 0.00353
 463.2 246.8 0.00E+00 278.76  6.25  96880 0.00362
 435.8 252.4 0.00E+00 280.60  6.11  96760 0.00353
 348.9 253.1 0.00E+00 281.66  5.65  96700 0.00352
 202.9 255.5 0.00E+00 282.24  4.82  96680 0.00350
  94.4 272.3 0.00E+00 281.98  3.97  96670 0.00343
   1.6 259.7 0.00E+00 279.09  2.01  96660 0.00325
   0.0 257.9 0.00E+00 276.32  1.47  96670 0.00308
   0.0 256.7 0.00E+00 274.29  2.02  96670 0.00298
   0.0 253.8 0.00E+00 272.43  1.32  96660 0.00287
   0.0 269.3 0.00E+00 271.68  0.78  96630 0.00284
   0.0 259.9 0.00E+00 271.62  0.95  96640 0.00290
   0.0 269.8 0.00E+00 271.33  0.98  96610 0.00287
   1.2 276.1 0.00E+00 271.41  0.61  96570 0.00291
   2.0 304.7 0.00E+00 271.87  0.92  96540 0.00299
   1.1 310.8 0.00E+00 272.82  0.96  96570 0.00313
   0.4 315.1 0.00E+00 274.15  1.52  96590 0.00325
   0.5 316.7 0.00E+00 276.03  3.80  96650 0.00350
   0.0 325.2 0.00E+00 278.64  6.09  96810 0.00465
   0.0 330.1 0.00E+00 278.60  2.15  96730 0.00531
   0.7 303.7 0.00E+00 277.05  1.41  96670 0.00499
  52.1 293.9 7.06E-05 276.05  1.80  96670 0.00463
 237.2 285.5 0.00E+00 280.27  3.17  96650 0.00510
 164.9 300.3 0.00E+00 282.03  5.74  96610 0.00480
  93.2 313.8 0.00E+00 281.22  6.04  96580 0.00416
 182.3 307.7 0.00E+00 282.09  4.77  96430 0.00414
 128.5 320.0 0.00E+00 281.73 10.00  96410 0.00406
 143.2 304.9 0.00E+00 280.31 10.33  96490 0.00453
 108.2 299.4 0.00E+00 279.74 10.22  96610 0.00461
  29.5 305.2 0.00E+00 277.91  9.37  96750 0.00494
   0.8 314.9 0.00E+00 277.66  7.04  96840 0.00477
   0.0 315.6 0.00E+00 277.74  5.74  96880 0.00471
   0.0 287.0 0.00E+00 276.84  4.63  96930 0.00443
   0.0 302.2 0.00E+00 276.38  3.06  96950 0.00439
   0.0 313.5 0.00E+00 276.41  3.35  96950 0.00434
   0.0 266.5 0.00E+00 276.44  3.04  96890 0.00421
   0.0 239.3 0.00E+00 272.80  1.71  96880 0.00364
   0.0 246.7 0.00E+00 270.57  1.30  96850 0.00324
   0.0 274.2 0.00E+00 269.18  1.87  96860 0.00293
   0.0 282.9 0.00E+00 268.02  1.62  96920 0.00268
   0.0 290.2 0.00E+00 268.75  1.17  96950 0.00283
   0.0 290.1 0.00E+00 268.45  1.60  96960 0.00277
   0.0 289.2 0.00E+00 268.48  1.72  96950 0.00278
   0.0 288.6 0.00E+00 268.36  2.13  96990 0.00275
   0.9 293.6 0.00E+00 269.76  2.08  97000 0.00305
  64.8 297.9 0.00E+00 270.70  2.48  97060 0.00326
 105.4 308.4 0.00E+00 273.60  2.91  97130 0.00393
  77.4 312.6 0.00E+00 275.76  4.75  97190 0.00420
  94.9 310.8 0.00E+00 276.21  5.44  97210 0.00409
 114.9 312.6 0.00E+00 276.55  5.13  97220 0.00401
 121.2 314.8 0.00E+00 276.99  4.83  97250 0.00405
  71.0 311.8 0.00E+00 276.43  4.98  97340 0.00410
  37.0 309.1 0.00E+00 276.07  5.41  97430 0.00384
  10.5 306.1 0.00E+00 275.59  4.92  97530 0.00380
   0.0 302.3 0.00E+00 274.67  5.47  97670 0.00360
   0.0 296.6 0.00E+00 273.43  6.04  97810 0.00333
   0.0 292.4 0.00E+00 272.44  6.41  97940 0.00313
   0.0 291.4 0.00E+00 271.25  6.27  98060 0.00299
   0.0 289.1 0.00E+00 270.69  5.88  98160 0.00291
   0.0 290.3 0.00E+00 271.02  4.86  98240 0.00293
   0.0 290.0 0.00E+00 271.52  5.81  98310 0.00297
   0.0 289.6 0.00E+00 271.69  4.95  98370 0.00299
