         714726006 function calls (713117625 primitive calls) in 3883.978 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.072    0.072 3883.998 3883.998 simulator.py:2(<module>)
        1    0.004    0.004 3869.583 3869.583 simulator.py:18(__init__)
       52    0.020    0.000 2761.536   53.106 spectra.py:193(sentinel2)
      676    0.027    0.000 2731.773    4.041 spectra.py:154(convolve)
     1352  279.845    0.207 2639.363    1.952 spectra.py:131(trim)
 56897308  167.886    0.000 1524.194    0.000 function_base.py:4098(append)
       52    0.529    0.010 1082.306   20.814 opticalCanopyRT.py:18(canopyRTOptical)
       53 1079.103   20.360 1079.103   20.360 {method 'readlines' of 'file' objects}
 56904183  802.310    0.000  837.666    0.000 copy.py:66(copy)
 56897452  815.682    0.000  815.682    0.000 {numpy.core.multiarray.concatenate}
 56897380  108.218    0.000  446.376    0.000 fromnumeric.py:1377(ravel)
114137444  128.798    0.000  307.633    0.000 numeric.py:476(asanyarray)
114360340  181.570    0.000  181.570    0.000 {numpy.core.multiarray.array}
     1352   91.855    0.068   92.142    0.068 spectra.py:91(interpolate)
57027337/57027335   82.820    0.000   82.832    0.000 {isinstance}
 56902724   43.315    0.000   43.315    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      780    0.006    0.000   29.702    0.038 spectra.py:18(__init__)
      676    0.012    0.000   29.691    0.044 spectra.py:27(loadSpectra)
      676    0.011    0.000   29.214    0.043 spectra.py:56(loadCSV)
      676    7.962    0.012   29.202    0.043 npyio.py:680(loadtxt)
        1    0.031    0.031   25.304   25.304 satelliteGeometry.py:27(getSentinel2Geometry)
        1    0.938    0.938   23.911   23.911 orbital.py:303(get_next_passes)
    56056    2.925    0.000   22.183    0.000 orbital.py:224(get_observer_look)
    53328    0.565    0.000   19.054    0.000 orbital.py:320(elevation)
 56943329   18.108    0.000   18.112    0.000 {getattr}
56918490/56918412   17.250    0.000   17.252    0.000 {method 'get' of 'dict' objects}
    56056    0.183    0.000   14.961    0.000 orbital.py:179(get_position)
    56056    7.363    0.000   13.319    0.000 orbital.py:683(propagate)
     5454    0.142    0.000   11.385    0.002 orbital.py:333(get_root_secant)
  1556152    4.643    0.000    8.912    0.000 npyio.py:855(split_line)
     2727    0.099    0.000    7.956    0.003 orbital.py:349(get_max_parab)
    21870    0.026    0.000    7.850    0.000 orbital.py:328(elevation_inv)
       18    0.001    0.000    6.913    0.384 figure.py:1461(savefig)
       18    0.000    0.000    6.912    0.384 backend_qt5agg.py:195(print_figure)
       18    0.001    0.000    5.629    0.313 backend_bases.py:2081(print_figure)
       18    0.001    0.000    5.592    0.311 backend_agg.py:526(print_png)
